,job_title,publish,company,city,description,link,website,date,search_title
0,Data (m/w/d) Teamlead,,Bikeleasing-Service GmbH & Co. KG,,,,xing,2023-07-18 12:21:49,Data Engineer
1,Machine Learning Engineer (m/w/d),,Kontakttechnik GmbH & Co. KG,,,,xing,2023-07-18 12:21:49,Data Engineer
2,Machine Learning Engineer (ML Engineer),,Ashley Grove Blu Analytics,,,,xing,2023-07-18 12:21:49,Data Engineer
3,"LINUX DevOps Consultant | Big Data, LINUX, DevOps, JAVA, Cloud | bis 100% Home-Office mögl. (mwd)",,Vesterling AG,,,,xing,2023-07-18 12:21:49,Data Engineer
4,"APEX / ORACLE Software Developer | Forms, Reports, Implementierung | Home-Office möglich (mwd)",,Vesterling AG,,,,xing,2023-07-18 12:21:49,Data Engineer
5,"APEX / ORACLE Software Developer | Forms, Reports, Implementierung | Home-Office möglich (mwd)",,Vesterling AG,,,,xing,2023-07-18 12:21:49,Data Engineer
6,"Systemadministrator SAS | Linux, Java-Stack, Big Data | bis 80.000 € | Inhouse (mwd)",,Vesterling AG,,,,xing,2023-07-18 12:21:49,Data Engineer
7,"Systemadministrator SAS | Linux, Java-Stack, Big Data | bis 80.000 € | Inhouse (mwd)",,Vesterling AG,,,,xing,2023-07-18 12:21:49,Data Engineer
8,"Linux-Systemadministrator | Anwendungsbetrieb im Java-Umfeld, BI, Big Data (mwd)",,Vesterling AG,,,,xing,2023-07-18 12:21:49,Data Engineer
9,"Linux-Systemadministrator | Anwendungsbetrieb im Java-Umfeld, BI, Big Data (mwd)",,Vesterling AG,,,,xing,2023-07-18 12:21:49,Data Engineer
10,"IT Security Engineer | Linux, Windows | bis. 80.000€ p.a. | 100% Home-Office mögl. (mwd)",,Vesterling AG,,,,xing,2023-07-18 12:21:49,Data Engineer
11,Cloud Data Engineer (m/w/d) | Paderborn,,ADVERGY GmbH,,,,xing,2023-07-18 12:21:49,Data Engineer
12,ADVANCED SYSTEMS ENGINEER (M/W/D),,HELLA GmbH & Co. KGaA,,,,xing,2023-07-18 12:21:49,Data Engineer
13,Expert Data Engineer (m/w/d),,Alexander Thamm GmbH,,,,xing,2023-07-18 12:21:49,Data Engineer
14,Logistic Process Engineer (m/f/d),,ABB Deutschland,,,,xing,2023-07-18 12:21:49,Data Engineer
15,Data Business Intelligence Engineer (m/w/d),,Kontakttechnik GmbH & Co. KG,,,,xing,2023-07-18 12:21:49,Data Engineer
16,Data Engineer (w/m/d),,digit xperts GmbH,,,,xing,2023-07-18 12:21:49,Data Engineer
17,Security Engineer Endpoint Protection (m/w/d),,pco GmbH & Co. KG,,,,xing,2023-07-18 12:21:49,Data Engineer
18,IoT Software Engineer (F/M/D),,Synctive,,,,xing,2023-07-18 12:21:49,Data Engineer
19,Cyber Security Engineer - Incident Response (m/w/d),,G DATA CyberDefense AG,,,,xing,2023-07-18 12:21:49,Data Engineer
