job_title,publish,company,city,description,link,website,date,search_title
,vor 2 Tagen,Arvato Systems Digital GmbH,"Berlin, Baden-Baden, Verl",,,stepstone,2023-03-04,Data_Engineer
,vor 6 Tagen,Riverty,Gütersloh,,,stepstone,2023-03-04,Data_Engineer
,vor 1 Woche,GEBR. BRASSELER GmbH & Co. KG,"Berlin, Baden-Baden, Verl",,,stepstone,2023-03-04,Data_Engineer
,vor 1 Woche,CTH Gesellschaft für Entscheidungs- und Informationssysteme mbH,Lemgo,,,stepstone,2023-03-04,Data_Engineer
,vor 1 Woche,eWolff GmbH,Halle,,,stepstone,2023-03-04,Data_Engineer
,vor 3 Wochen,PwC,Bielefeld,,,stepstone,2023-03-04,Data_Engineer
,vor 1 Woche,Miele & Cie. KG,"Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover,",,,stepstone,2023-03-04,Data_Engineer
,vor 2 Tagen,Miele & Cie. KG,Gütersloh,,,stepstone,2023-03-04,Data_Engineer
,vor 3 Tagen,GOLDBECK GmbH,Gütersloh,,,stepstone,2023-03-04,Data_Engineer
,vor 17 Stunden,Beckhoff Automation GmbH & Co. KG,"Bielefeld, Leipzig, Plauen",,,stepstone,2023-03-04,Data_Engineer
,vor 1 Tag,GOLDBECK GmbH,"Verl, bundedweit",,,stepstone,2023-03-04,Data_Engineer
,vor 1 Tag,MPDV Mikrolab GmbH,"Bielefeld, Leipzig, Plauen",,,stepstone,2023-03-04,Data_Engineer
,vor 1 Tag,Dürkopp Adler GmbH,"Heimsheim bei Stuttgart, München, Hamm, Heidelberg, Mosbach",,,stepstone,2023-03-04,Data_Engineer
,vor 19 Stunden,Arvato Systems GmbH,Bielefeld,,,stepstone,2023-03-04,Data_Engineer
,vor 6 Tagen,Dataport AöR,"Hamburg, Köln oder Bielefeld",,,stepstone,2023-03-04,Data_Engineer
,vor 14 Stunden,GOLDBECK GmbH,"Altenholz/Kiel, Bad Oldesloe, Bremen, Halle (Saale), Hamburg, Hannover, Magdeburg, Potsdam, Zeitz",,,stepstone,2023-03-04,Data_Engineer
,vor 1 Woche,Arvato Systems Digital GmbH,"Bielefeld, Leipzig, Plauen",,,stepstone,2023-03-04,Data_Engineer
,vor 4 Tagen,MPDV Mikrolab GmbH,Rheda-Wiedenbrück,,,stepstone,2023-03-04,Data_Engineer
,vor 3 Tagen,MPDV Mikrolab GmbH,"Mosbach, Heidelberg, Hamm, München, Stuttgart",,,stepstone,2023-03-04,Data_Engineer
,vor 3 Tagen,adesso as a service GmbH,"Heimsheim bei Stuttgart, München, Hamm, Heidelberg, Mosbach",,,stepstone,2023-03-04,Data_Engineer
,vor 4 Tagen,FERCHAU GmbH,"Dortmund, Frankfurt/Main, Berlin, München, Stralsund, Aachen, Karlsruhe, Düsseldorf, Paderborn",,,stepstone,2023-03-04,Data_Engineer
,vor 22 Stunden,dSPACE GmbH,Bielefeld,,,stepstone,2023-03-04,Data_Engineer
,vor 5 Tagen,SYMBIONET AG,"Paderborn, Böblingen (bei Stuttgart), Pfaffenhofen a. d. Ilm (bei München), Wolfsburg, Karlsruhe",,,stepstone,2023-03-04,Data_Engineer
,vor 1 Woche,dSPACE GmbH,"Bremen, Bielefeld, Münster, Oldenburg, Hamburg, Hannover, Osnabrück, Essen, Dortmund, Lingen, Meppen",,,stepstone,2023-03-04,Data_Engineer
,vor 1 Woche,,Paderborn,,,stepstone,2023-03-04,Data_Engineer
