job_title,publish,company,city,description,link,website,date,search_title
,vor 1 Tag,Diamant Software GmbH,"Verl, bundedweit",,,stepstone,2023-03-04,Data_Scientist
,vor 2 Wochen,Deutsche Fachpflege,"Bielefeld, Darmstadt",,,stepstone,2023-03-04,Data_Scientist
,vor 4 Tagen,Bertelsmann SE & Co. KGaA - Corporate Center,Herford,,,stepstone,2023-03-04,Data_Scientist
,vor 1 Woche,Stiebel Eltron GmbH & Co.KG,"Gütersloh, Köln, München, Berlin, Hamburg",,,stepstone,2023-03-04,Data_Scientist
,vor 2 Wochen,GEBR. BRASSELER GmbH & Co. KG,"Holzminden, Bielefeld, Gütersloh",,,stepstone,2023-03-04,Data_Scientist
,vor 1 Woche,Arvato Systems Digital GmbH,Lemgo,,,stepstone,2023-03-04,Data_Scientist
,vor 6 Tagen,Riverty,Gütersloh,,,stepstone,2023-03-04,Data_Scientist
,vor 1 Woche,CTH Gesellschaft für Entscheidungs- und Informationssysteme mbH,"Berlin, Baden-Baden, Verl",,,stepstone,2023-03-04,Data_Scientist
,vor 1 Woche,Klinikum Lippe GmbH,Halle,,,stepstone,2023-03-04,Data_Scientist
,vor 1 Woche,Riverty,Detmold,,,stepstone,2023-03-04,Data_Scientist
,vor 2 Wochen,KPMG AG Wirtschaftsprüfungsgesellschaft,"Berlin, Verl, Baden-Baden",,,stepstone,2023-03-04,Data_Scientist
,vor 2 Wochen,KPMG AG Wirtschaftsprüfungsgesellschaft,"Leipzig, Bielefeld, Dresden, Bremen, Freiburg, Essen, Mainz, Karlsruhe, Dortmund, Regensburg",,,stepstone,2023-03-04,Data_Scientist
,vor 2 Wochen,Telefónica Germany GmbH & Co. OHG,"Berlin, Düsseldorf, Frankfurt, Hamburg, München, Köln, Hannover, Münster, Bielefeld, Dortmund",,,stepstone,2023-03-04,Data_Scientist
,vor 1 Tag,Telefónica Germany GmbH & Co. OHG,bundesweit,,,stepstone,2023-03-04,Data_Scientist
,vor 1 Tag,Kienbaum Consultants International GmbH - Zentrale,bundesweit,,,stepstone,2023-03-04,Data_Scientist
,vor 2 Wochen,TUI InfoTec GmbH,bundesweit,,,stepstone,2023-03-04,Data_Scientist
,vor 23 Stunden,SoftwareONE Deutschland GmbH,"bundesweit, EU / UK -Standorte",,,stepstone,2023-03-04,Data_Scientist
,vor 1 Woche,Tourlane GmbH,"Leipzig, Berlin, Hamburg, bundesweit (Home-Office)",,,stepstone,2023-03-04,Data_Scientist
,vor 2 Wochen,Kienbaum Consultants International GmbH - Zentrale,"Home Office or Berlin, Germany",,,stepstone,2023-03-04,Data_Scientist
,vor 1 Woche,Haufe Group SE,bundesweit,,,stepstone,2023-03-04,Data_Scientist
,vor 1 Woche,Heringer Consulting GmbH,"Freiburg im Breisgau, Home-Office",,,stepstone,2023-03-04,Data_Scientist
,vor 1 Woche,elanyo GmbH,bundesweit,,,stepstone,2023-03-04,Data_Scientist
,vor 2 Tagen,Vaillant Group Business Services GmbH,"Stuttgart, Home-Office",,,stepstone,2023-03-04,Data_Scientist
,vor 1 Woche,Kaufland e-commerce,"Remscheid, Home-Office",,,stepstone,2023-03-04,Data_Scientist
,vor 1 Woche,,"Köln, Darmstadt, Düsseldorf, Home-Office",,,stepstone,2023-03-04,Data_Scientist
